ID,rA,rB,rC,rD,rE,rF,rG,rH,rI,rJ,rK,rL,rM,rN,rO,rP,rQ
27753,2,3,0,2,3,1,0,0,2,2,0,1,1,3,0,0,0
27754,2,3,0,2,3,2,0,0,2,2,0,1,1,3,0,0,3
27755,2,0,0,2,3,2,0,0,2,2,0,1,2,3,0,3,0
27756,2,3,3,2,3,1,0,3,1,2,0,2,1,3,3,0,3
27761,2,0,0,2,3,2,0,0,2,2,0,1,2,3,0,3,0
27763,2,3,0,2,3,1,0,0,1,1,3,1,1,3,3,3,0
27765,2,3,0,2,3,2,0,0,2,2,0,1,1,3,0,0,0
28110,2,3,0,2,1,1,0,2,1,1,3,1,1,3,3,1,0
28211,0,1,3,2,1,2,0,3,1,2,0,2,2,3,1,2,3
28216,3,2,2,0,2,3,2,2,2,3,2,1,3,1,2,1,2
28227,2,3,0,2,1,1,0,2,1,1,3,1,1,3,3,1,0
28319,2,1,3,2,2,2,3,1,1,2,3,2,2,3,3,2,3
28734,2,3,0,2,1,1,0,2,1,1,3,1,1,3,3,1,0
28736,2,3,0,2,3,1,0,0,1,1,3,3,1,3,2,3,0
28737,1,0,0,2,0,1,0,0,1,1,3,3,1,3,2,3,0
28899,3,2,2,3,2,1,0,0,1,1,3,3,1,3,1,1,0
29040,3,2,2,0,1,1,0,0,2,3,3,1,1,3,0,1,0
29056,2,1,3,2,1,2,3,3,1,2,3,2,2,3,3,2,3
29058,0,1,3,2,1,1,0,1,1,1,0,2,1,3,3,2,3
29060,0,1,3,1,2,2,3,1,1,2,3,2,2,3,3,2,3
29064,0,1,0,0,1,1,0,0,2,1,0,1,1,3,2,2,0
29065,0,2,2,2,1,3,2,2,2,1,2,3,3,1,2,2,2
29066,0,2,2,0,1,3,2,2,2,3,2,3,3,1,2,1,2
29067,0,1,2,0,1,3,2,2,2,1,2,3,3,1,2,2,2
29068,0,1,2,2,1,1,2,2,2,1,2,3,3,1,2,2,2
29070,0,1,1,0,2,0,3,3,1,0,3,2,0,3,3,0,1
29071,0,1,0,2,1,1,0,2,2,1,0,1,1,3,2,2,0
29074,3,2,2,2,1,1,2,2,1,1,1,3,3,1,2,1,2
29078,0,1,3,0,2,2,3,3,1,2,3,2,1,3,1,2,3
29079,0,1,0,0,1,1,0,0,2,1,3,3,1,3,2,1,0
29082,3,2,2,3,2,3,0,0,2,3,0,1,3,3,0,3,2
29083,3,2,2,0,1,3,2,2,2,3,2,1,3,1,2,1,2
29086,0,2,2,0,1,3,2,2,2,3,2,1,3,1,2,0,2
29090,3,2,1,0,2,3,0,0,2,3,2,0,3,0,0,0,2
29091,0,2,2,0,1,3,0,0,1,3,3,1,3,3,0,1,2
29100,0,1,3,2,1,1,3,1,1,1,0,2,1,3,1,2,3
29103,0,1,3,2,2,2,3,3,1,2,3,2,2,3,1,2,3
29177,0,2,2,0,1,3,2,2,1,3,1,1,3,1,2,1,2
